0.112	1.84812	1.26715	0.944025	-1.83392
0.113	1.84628	1.26589	0.943085	-1.846
0.114	1.84443	1.26462	0.942139	-1.85798
0.115	1.84257	1.26334	0.941187	-1.86985
0.116	1.84069	1.26205	0.940229	-1.88161
0.117	1.83881	1.26076	0.939265	-1.89327
0.118	1.83691	1.25946	0.938295	-1.90481
0.119	1.835	1.25815	0.937319	-1.91625
0.12	1.83307	1.25683	0.936337	-1.92758
0.121	1.83114	1.2555	0.93535	-1.9388
0.122	1.8292	1.25417	0.934357	-1.94991
0.123	1.82724	1.25283	0.933358	-1.96091
0.124	1.82527	1.25148	0.932353	-1.9718
0.125	1.8233	1.25013	0.931343	-1.98258
0.126	1.82131	1.24876	0.930328	-1.99324
0.127	1.81931	1.24739	0.929307	-2.00379
0.128	1.8173	1.24601	0.928281	-2.01424
0.129	1.81528	1.24463	0.927249	-2.02456
0.13	1.81325	1.24324	0.926212	-2.03478
0.131	1.81121	1.24184	0.925171	-2.04488
0.132	1.80916	1.24043	0.924123	-2.05487
0.133	1.8071	1.23902	0.923071	-2.06474
0.134	1.80503	1.2376	0.922014	-2.0745
0.135	1.80295	1.23618	0.920952	-2.08414
0.136	1.80086	1.23474	0.919885	-2.09367
0.137	1.79877	1.23331	0.918813	-2.10308
0.138	1.79666	1.23186	0.917736	-2.11237
0.139	1.79454	1.23041	0.916655	-2.12155
0.14	1.79242	1.22895	0.915569	-2.13062
0.141	1.79028	1.22749	0.914478	-2.13956
0.142	1.78814	1.22602	0.913383	-2.14839
0.143	1.78598	1.22454	0.912284	-2.15711
0.144	1.78382	1.22306	0.91118	-2.1657
0.145	1.78165	1.22157	0.910071	-2.17418
0.146	1.77947	1.22008	0.908958	-2.18254
0.147	1.77729	1.21858	0.907841	-2.19078
0.148	1.77509	1.21707	0.90672	-2.19891
0.149	1.77289	1.21556	0.905595	-2.20691
0.15	1.77068	1.21405	0.904466	-2.2148
0.151	1.76846	1.21253	0.903332	-2.22257
0.152	1.76623	1.211	0.902195	-2.23022
0.153	1.764	1.20947	0.901054	-2.23775
0.154	1.76176	1.20793	0.899909	-2.24516
0.155	1.75951	1.20639	0.89876	-2.25246
0.156	1.75725	1.20484	0.897608	-2.25963
0.157	1.75499	1.20329	0.896452	-2.26669
0.158	1.75272	1.20173	0.895292	-2.27363
0.159	1.75044	1.20017	0.894129	-2.28045
0.16	1.74816	1.19861	0.892962	-2.28715
0.161	1.74587	1.19704	0.891793	-2.29373
0.162	1.74357	1.19546	0.890619	-2.30019
0.163	1.74127	1.19388	0.889443	-2.30653
0.164	1.73896	1.1923	0.888263	-2.31275
0.165	1.73664	1.19071	0.88708	-2.31886
0.166	1.73432	1.18912	0.885894	-2.32485
0.167	1.73199	1.18752	0.884705	-2.33071
0.168	1.72966	1.18592	0.883513	-2.33646
0.169	1.72732	1.18432	0.882318	-2.34209
0.17	1.72497	1.18271	0.88112	-2.3476
0.171	1.72262	1.1811	0.87992	-2.353
0.172	1.72027	1.17948	0.878716	-2.35827
0.173	1.71791	1.17787	0.87751	-2.36343
0.174	1.71554	1.17624	0.876302	-2.36847
0.175	1.71317	1.17462	0.875091	-2.37339
0.176	1.7108	1.17299	0.873877	-2.37819
0.177	1.70841	1.17136	0.872661	-2.38288
0.178	1.70603	1.16972	0.871443	-2.38745
0.179	1.70364	1.16808	0.870222	-2.3919
0.18	1.70125	1.16644	0.868999	-2.39624
0.181	1.69885	1.1648	0.867774	-2.40046
0.182	1.69644	1.16315	0.866547	-2.40456
0.183	1.69404	1.1615	0.865318	-2.40855
0.184	1.69163	1.15985	0.864086	-2.41242
0.185	1.68921	1.15819	0.862853	-2.41617
0.186	1.6868	1.15653	0.861618	-2.41982
0.187	1.68437	1.15487	0.860381	-2.42334
0.188	1.68195	1.15321	0.859142	-2.42675
0.189	1.67952	1.15155	0.857902	-2.43005
0.19	1.67709	1.14988	0.85666	-2.43324
0.191	1.67465	1.14821	0.855416	-2.43631
0.192	1.67222	1.14654	0.854171	-2.43926
0.193	1.66977	1.14486	0.852924	-2.44211
0.194	1.66733	1.14319	0.851676	-2.44484
0.195	1.66489	1.14151	0.850426	-2.44746
0.196	1.66244	1.13983	0.849176	-2.44997
0.197	1.65999	1.13815	0.847924	-2.45237
0.198	1.65753	1.13647	0.84667	-2.45466
0.199	1.65508	1.13479	0.845416	-2.45683
0.2	1.65262	1.1331	0.84416	-2.4589
0.201	1.65016	1.13141	0.842904	-2.46086
0.202	1.6477	1.12973	0.841646	-2.46271
0.203	1.64523	1.12804	0.840388	-2.46445
0.204	1.64277	1.12635	0.839129	-2.46608
0.205	1.6403	1.12466	0.837869	-2.46761
0.206	1.63783	1.12296	0.836608	-2.46902
0.207	1.63536	1.12127	0.835346	-2.47034
0.208	1.63289	1.11958	0.834084	-2.47154
0.209	1.63042	1.11788	0.832821	-2.47264
0.21	1.62795	1.11619	0.831558	-2.47364
0.211	1.62547	1.11449	0.830294	-2.47453
0.212	1.623	1.11279	0.82903	-2.47531
0.213	1.62052	1.11109	0.827765	-2.476
0.214	1.61805	1.1094	0.8265	-2.47658
0.215	1.61557	1.1077	0.825235	-2.47706
0.216	1.61309	1.106	0.82397	-2.47743
0.217	1.61061	1.1043	0.822704	-2.47771
0.218	1.60814	1.1026	0.821439	-2.47789
0.219	1.60566	1.1009	0.820173	-2.47796
0.22	1.60318	1.0992	0.818907	-2.47794
0.221	1.6007	1.09751	0.817641	-2.47782
0.222	1.59822	1.09581	0.816376	-2.4776
0.223	1.59575	1.09411	0.81511	-2.47728
0.224	1.59327	1.09241	0.813845	-2.47687
0.225	1.59079	1.09071	0.81258	-2.47636
0.226	1.58832	1.08901	0.811315	-2.47575
0.227	1.58584	1.08732	0.810051	-2.47505
0.228	1.58337	1.08562	0.808787	-2.47426
0.229	1.58089	1.08392	0.807523	-2.47337
0.23	1.57842	1.08223	0.80626	-2.47239
0.231	1.57595	1.08053	0.804997	-2.47132
0.232	1.57348	1.07884	0.803735	-2.47015
0.233	1.57101	1.07715	0.802474	-2.4689
