#mu(0)=1.9567
0.187	0.97817	-0.22845
0.188	0.97794	-0.22957
0.189	0.97771	-0.23068
0.19	0.97748	-0.23179
0.191	0.97725	-0.2329
0.192	0.97701	-0.23401
0.193	0.97678	-0.23512
0.194	0.97654	-0.23622
0.195	0.97631	-0.23733
0.196	0.97607	-0.23843
0.197	0.97583	-0.23953
0.198	0.97559	-0.24063
0.199	0.97535	-0.24172
0.2	0.97511	-0.24282
0.201	0.97486	-0.24391
0.202	0.97462	-0.24501
0.203	0.97437	-0.2461
0.204	0.97413	-0.24718
0.205	0.97388	-0.24827
0.206	0.97363	-0.24936
0.207	0.97338	-0.25044
0.208	0.97313	-0.25152
0.209	0.97288	-0.2526
0.21	0.97262	-0.25368
0.211	0.97237	-0.25475
0.212	0.97211	-0.25583
0.213	0.97186	-0.2569
0.214	0.9716	-0.25797
0.215	0.97134	-0.25904
0.216	0.97108	-0.26011
0.217	0.97082	-0.26117
0.218	0.97056	-0.26224
0.219	0.9703	-0.2633
0.22	0.97003	-0.26436
0.221	0.96977	-0.26542
0.222	0.9695	-0.26647
0.223	0.96924	-0.26753
0.224	0.96897	-0.26858
0.225	0.9687	-0.26963
0.226	0.96843	-0.27068
0.227	0.96816	-0.27173
0.228	0.96789	-0.27277
0.229	0.96761	-0.27382
0.23	0.96734	-0.27486
0.231	0.96706	-0.2759
0.232	0.96679	-0.27693
0.233	0.96651	-0.27797
0.234	0.96623	-0.279
0.235	0.96595	-0.28004
0.236	0.96567	-0.28107
0.237	0.96539	-0.28209
0.238	0.96511	-0.28312
0.239	0.96482	-0.28415
0.24	0.96454	-0.28517
0.241	0.96425	-0.28619
0.242	0.96396	-0.28721
0.243	0.96368	-0.28822
0.244	0.96339	-0.28924
0.245	0.9631	-0.29025
0.246	0.96281	-0.29126
0.247	0.96252	-0.29227
0.248	0.96222	-0.29328
0.249	0.96193	-0.29428
0.25	0.96163	-0.29528
0.251	0.96134	-0.29628
0.252	0.96104	-0.29728
0.253	0.96074	-0.29828
0.254	0.96045	-0.29927
0.255	0.96015	-0.30027
0.256	0.95985	-0.30126
0.257	0.95954	-0.30225
0.258	0.95924	-0.30323
0.259	0.95894	-0.30422
0.26	0.95863	-0.3052
0.261	0.95833	-0.30618
0.262	0.95802	-0.30716
0.263	0.95771	-0.30814
0.264	0.9574	-0.30911
0.265	0.95709	-0.31008
0.266	0.95678	-0.31105
0.267	0.95647	-0.31202
0.268	0.95616	-0.31299
0.269	0.95585	-0.31395
0.27	0.95553	-0.31491
0.271	0.95522	-0.31587
0.272	0.9549	-0.31683
0.273	0.95458	-0.31779
0.274	0.95426	-0.31874
0.275	0.95394	-0.31969
0.276	0.95362	-0.32064
0.277	0.9533	-0.32159
0.278	0.95298	-0.32254
0.279	0.95266	-0.32348
0.28	0.95233	-0.32442
0.281	0.95201	-0.32536
0.282	0.95168	-0.3263
0.283	0.95136	-0.32723
0.284	0.95103	-0.32816
0.285	0.9507	-0.32909
0.286	0.95037	-0.33002
0.287	0.95004	-0.33095
0.288	0.94971	-0.33187
0.289	0.94938	-0.33279
0.29	0.94904	-0.33371
0.291	0.94871	-0.33463
0.292	0.94837	-0.33555
0.293	0.94804	-0.33646
0.294	0.9477	-0.33737
0.295	0.94736	-0.33828
0.296	0.94702	-0.33919
0.297	0.94669	-0.34009
0.298	0.94634	-0.34099
0.299	0.946	-0.34189
0.3	0.94566	-0.34279
0.301	0.94532	-0.34369
0.302	0.94497	-0.34458
0.303	0.94463	-0.34547
0.304	0.94428	-0.34636
0.305	0.94394	-0.34725
0.306	0.94359	-0.34813
0.307	0.94324	-0.34902
0.308	0.94289	-0.3499
0.309	0.94254	-0.35077
0.31	0.94219	-0.35165
0.311	0.94184	-0.35252
0.312	0.94148	-0.35339
0.313	0.94113	-0.35426
0.314	0.94077	-0.35513
0.315	0.94042	-0.356
0.316	0.94006	-0.35686
0.317	0.93971	-0.35772
0.318	0.93935	-0.35858
0.319	0.93899	-0.35943
0.32	0.93863	-0.36028
0.321	0.93827	-0.36114
0.322	0.93791	-0.36199
0.323	0.93754	-0.36283
0.324	0.93718	-0.36368
0.325	0.93682	-0.36452
0.326	0.93645	-0.36536
0.327	0.93609	-0.3662
0.328	0.93572	-0.36703
0.329	0.93535	-0.36786
0.33	0.93498	-0.3687
0.331	0.93461	-0.36952
0.332	0.93424	-0.37035
0.333	0.93387	-0.37117
0.334	0.9335	-0.372
0.335	0.93313	-0.37281
0.336	0.93276	-0.37363
0.337	0.93238	-0.37445
0.338	0.93201	-0.37526
0.339	0.93163	-0.37607
0.34	0.93126	-0.37688
0.341	0.93088	-0.37768
0.342	0.9305	-0.37849
0.343	0.93012	-0.37929
0.344	0.92974	-0.38009
0.345	0.92936	-0.38088
0.346	0.92898	-0.38168
0.347	0.9286	-0.38247
0.348	0.92821	-0.38326
0.349	0.92783	-0.38405
0.35	0.92745	-0.38483
0.351	0.92706	-0.38561
0.352	0.92668	-0.38639
0.353	0.92629	-0.38717
0.354	0.9259	-0.38795
0.355	0.92551	-0.38872
0.356	0.92512	-0.38949
0.357	0.92473	-0.39026
0.358	0.92434	-0.39102
0.359	0.92395	-0.39179
0.36	0.92356	-0.39255
0.361	0.92317	-0.39331
0.362	0.92277	-0.39407
0.363	0.92238	-0.39482
0.364	0.92198	-0.39557
0.365	0.92159	-0.39632
0.366	0.92119	-0.39707
0.367	0.92079	-0.39782
0.368	0.9204	-0.39856
0.369	0.92	-0.3993
0.37	0.9196	-0.40004
0.371	0.9192	-0.40077
0.372	0.9188	-0.40151
0.373	0.91839	-0.40224
0.374	0.91799	-0.40297
0.375	0.91759	-0.40369
0.376	0.91718	-0.40442
0.377	0.91678	-0.40514
0.378	0.91637	-0.40586
0.379	0.91597	-0.40658
0.38	0.91556	-0.40729
0.381	0.91515	-0.408
0.382	0.91474	-0.40871
0.383	0.91433	-0.40942
0.384	0.91392	-0.41012
0.385	0.91351	-0.41083
0.386	0.9131	-0.41153
0.387	0.91269	-0.41223
0.388	0.91228	-0.41292
0.389	0.91187	-0.41362
0.39	0.91145	-0.41431
0.391	0.91104	-0.41499
0.392	0.91062	-0.41568
0.393	0.91021	-0.41637
0.394	0.90979	-0.41705
0.395	0.90937	-0.41773
0.396	0.90895	-0.4184
0.397	0.90853	-0.41908
0.398	0.90812	-0.41975
0.399	0.9077	-0.42042
0.4	0.90727	-0.42109
0.401	0.90685	-0.42175
0.402	0.90643	-0.42241
0.403	0.90601	-0.42307
0.404	0.90558	-0.42373
0.405	0.90516	-0.42439
0.406	0.90474	-0.42504
0.407	0.90431	-0.42569
0.408	0.90388	-0.42634
0.409	0.90346	-0.42699
0.41	0.90303	-0.42763
0.411	0.9026	-0.42827
0.412	0.90217	-0.42891
0.413	0.90174	-0.42955
0.414	0.90132	-0.43018
0.415	0.90088	-0.43081
0.416	0.90045	-0.43144
0.417	0.90002	-0.43207
0.418	0.89959	-0.43269
0.419	0.89916	-0.43332
0.42	0.89872	-0.43394
0.421	0.89829	-0.43455
0.422	0.89785	-0.43517
0.423	0.89742	-0.43578
0.424	0.89698	-0.43639
0.425	0.89655	-0.437
0.426	0.89611	-0.43761
0.427	0.89567	-0.43821
0.428	0.89523	-0.43881
0.429	0.89479	-0.43941
0.43	0.89435	-0.44001
0.431	0.89391	-0.4406
0.432	0.89347	-0.44119
0.433	0.89303	-0.44178
0.434	0.89259	-0.44237
0.435	0.89215	-0.44295
0.436	0.8917	-0.44353
0.437	0.89126	-0.44411
0.438	0.89081	-0.44469
0.439	0.89037	-0.44527
0.44	0.88992	-0.44584
0.441	0.88948	-0.44641
0.442	0.88903	-0.44698
0.443	0.88858	-0.44754
0.444	0.88814	-0.44811
0.445	0.88769	-0.44867
0.446	0.88724	-0.44923
0.447	0.88679	-0.44978
0.448	0.88634	-0.45034
0.449	0.88589	-0.45089
0.45	0.88544	-0.45144
0.451	0.88498	-0.45198
0.452	0.88453	-0.45253
0.453	0.88408	-0.45307
0.454	0.88363	-0.45361
0.455	0.88317	-0.45415
0.456	0.88272	-0.45468
0.457	0.88226	-0.45522
0.458	0.88181	-0.45575
0.459	0.88135	-0.45627
0.46	0.8809	-0.4568
0.461	0.88044	-0.45732
0.462	0.87998	-0.45785
0.463	0.87952	-0.45836
0.464	0.87906	-0.45888
0.465	0.8786	-0.45939
0.466	0.87815	-0.45991
0.467	0.87768	-0.46042
0.468	0.87722	-0.46092
0.469	0.87676	-0.46143
0.47	0.8763	-0.46193
0.471	0.87584	-0.46243
0.472	0.87538	-0.46293
0.473	0.87491	-0.46342
0.474	0.87445	-0.46392
0.475	0.87399	-0.46441
0.476	0.87352	-0.4649
0.477	0.87306	-0.46538
0.478	0.87259	-0.46587
0.479	0.87212	-0.46635
0.48	0.87166	-0.46683
0.481	0.87119	-0.4673
0.482	0.87072	-0.46778
0.483	0.87025	-0.46825
0.484	0.86979	-0.46872
0.485	0.86932	-0.46919
0.486	0.86885	-0.46965
0.487	0.86838	-0.47012
0.488	0.86791	-0.47058
0.489	0.86744	-0.47104
0.49	0.86697	-0.47149
0.491	0.86649	-0.47195
0.492	0.86602	-0.4724
0.493	0.86555	-0.47285
0.494	0.86508	-0.4733
0.495	0.8646	-0.47374
0.496	0.86413	-0.47418
0.497	0.86365	-0.47462
0.498	0.86318	-0.47506
0.499	0.8627	-0.4755
0.5	0.86223	-0.47593
0.501	0.86175	-0.47636
0.502	0.86128	-0.47679
0.503	0.8608	-0.47722
0.504	0.86032	-0.47764
0.505	0.85984	-0.47806
0.506	0.85937	-0.47848
0.507	0.85889	-0.4789
0.508	0.85841	-0.47932
0.509	0.85793	-0.47973
0.51	0.85745	-0.48014
0.511	0.85697	-0.48055
0.512	0.85649	-0.48096
0.513	0.85601	-0.48136
0.514	0.85552	-0.48176
0.515	0.85504	-0.48216
0.516	0.85456	-0.48256
0.517	0.85408	-0.48296
0.518	0.85359	-0.48335
